TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
7006,85,42,100,100,93.5,9
7026,148,83,99.2,100,92.6,6.6
7034,78,35,98.5,100,86.8,12.9
7077,120,37,100,100,84.9,9.3
7080,106,53,100,100,89.5,10.5
7102,113,76,94.9,100,87.6,15.2
7122,104,44,100,100,93.5,10.4
I03V,95,41,100,77.8,96.2,4.5
I06I,176,65,100,100,88.8,10.2
I08X,144,69,100,71.4,91,11.2
IK01,138,69,100,75,92.9,10.9
Freedom Totals,1307,614,99.3,92.7,90.6,10
