TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%
6824,33,20,100,100,86.7
6832,64,22,92.9,84.6,93
6837,92,47,100,75,96.4
6840,86,24,96.2,90,92.3
6845,64,36,100,100,88.1
6855,92,59,95.7,100,94.7
6858,50,28,100,100,94.6
6869,111,79,98.7,89.5,96.2
6875,96,47,95.7,100,88
6886,118,87,97.4,100,94.1
6887,42,17,100,100,85.7
6898,101,48,98.1,100,92.4
6919,59,23,100,66.7,94.4
6937,78,56,98.1,100,93.8
6946,93,59,0,72.7,81.4
6948,92,48,96.4,100,98.8
6984,91,47,100,100,93.9
7006,90,20,0,100,90
7010,101,69,96.9,100,91.8
7011,17,4,100,100,63.6
JComm Totals,1570,840,97.2,95,92.1
