TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
6837,103,70,100,62.5,96.4,9.5
6840,142,77,98.3,100,93.3,9.4
6845,119,52,100,96.2,97.3,7
6855,147,77,0,100,95.8,8.3
6875,106,28,98.5,100,92.5,6.2
6886,127,98,100,100,98.2,8.1
6887,112,58,98.7,100,91.8,7
6898,47,17,100,100,94.6,11.6
6946,130,44,100,100,98.4,6.6
6977,106,87,97.8,93.3,93.9,6.1
6984,130,47,0,100,96.7,6.3
I00V,106,33,100,57.1,87.2,21.3
I05L,70,35,95.9,100,92.4,7.4
I05X,33,10,95.7,100,80.6,9.7
I08V,119,70,100,100,92.3,9.2
I0C6,71,51,98,100,86.4,5
I0EF,66,20,0,100,96.4,3.6
I0HJ,5,1,0,0,100,0
I0I9,26,6,100,0,80,30.8
I0IT,10,4,83.3,0,90,40
II96,57,27,97.7,88.9,94.2,9.6
IOHJ,77,64,98.4,100,94.5,2.7
JComm Totals,1909,976,98.6,96,93.7,8.5
