TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
4882,102,81,100,100,96.9,9.2
4888,43,24,100,100,94.4,2.7
I0EG,83,24,100,100,87.1,12.2
IE49,142,54,100,100,97.3,11.3
Keystone Totals,370,183,100,100,94.6,9.9
