TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%
6808,62,44,97.9,84.6,88.9
6819,4,3,100,0,-50
6824,69,39,100,100,86.9
6832,47,21,100,100,86.5
6837,96,57,100,100,92.5
6840,111,64,97.8,89.5,94.3
6845,82,38,98.5,89.5,90
6855,138,102,100,95,94.2
6858,73,30,96.6,100,91.4
6869,94,79,100,94.1,98.9
6875,121,44,100,90.5,84
6886,132,110,100,100,93.4
6887,78,30,100,45.5,81.8
6898,79,32,100,100,90.2
6919,40,24,100,83.3,89.7
6946,141,56,100,66.7,92.4
6948,78,34,100,100,94.4
6984,110,46,100,81.8,98.3
7006,141,63,83.3,100,93.4
7010,109,78,100,100,90.7
7011,102,39,98.3,86.7,93.1
JComm Totals,1907,1033,99.3,92.2,91.3
