TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
7006,124,49,100,100,83.8,8.8
7022,11,6,100,0,66.7,0
7026,111,65,100,90.5,97.2,4.6
7034,94,29,100,100,96.3,6.1
7077,156,57,100,100,91,5.1
7080,143,71,100,93.3,89.6,11.6
7102,119,99,99.1,87.5,92.2,4.3
7122,131,49,98.9,100,94,4.9
I03V,118,53,100,100,94.2,9.9
I06I,168,68,100,100,92.3,12.2
I08X,81,43,97,50,93.4,7.7
IK01,31,15,100,100,96.6,0
Freedom Totals,1287,604,99.6,95.2,92.1,7.4
