TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%
6832,53,25,100,66.7,93.9
6837,91,58,0,100,94.1
6840,75,13,100,100,94.3
6845,80,41,100,90,94.4
6855,43,34,100,75,86.1
6858,64,32,0,100,92.5
6869,26,8,100,100,76
6875,68,28,100,100,90.7
6886,104,80,98.8,88.2,92.2
6887,73,31,100,100,98.2
6898,48,13,100,100,88
6919,41,9,94.7,60,61.8
6937,34,21,100,100,100
6946,108,50,100,100,95.5
6948,104,49,100,100,98.9
6984,139,46,0,88.9,98
7010,101,76,98.5,88.2,91.9
JComm Totals,1252,614,99.5,92.9,92.6
