TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%
7013,41,25,96.3,100,82.8
7022,49,2,100,57.1,95.7
7037,93,45,98.3,88.2,94.7
7069,69,42,100,88.2,88.7
7079,74,42,97.3,100,90.2
7093,43,22,100,100,87.5
7114,78,41,92.9,81.8,87.5
Freedom Totals,447,219,97.5,87.1,90.2
