TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
6837,88,65,0,100,95.7,12.9
6840,72,69,98,92.9,98.6,2.9
6845,63,33,100,92.3,96.6,3.3
6855,4,4,0,0,100,25
6875,70,54,100,100,96.8,12.5
6886,88,55,98.1,100,98.5,2.7
6887,60,29,100,100,94.1,14.5
6898,27,24,100,100,95.8,8.3
6946,48,23,100,80,96.4,7.1
6948,79,58,100,100,94.7,6.6
6977,58,43,97.9,100,92.7,3.6
6984,83,20,0,100,88.9,14.8
I00V,58,26,0,100,90.6,18.8
I04O,7,6,100,100,85.7,14.3
I05L,18,18,68.8,100,100,5.6
I05X,26,26,100,100,100,15.4
I08V,56,40,100,100,82.1,7.1
I0C6,25,23,94.7,100,87.5,12.5
I0EF,27,8,0,33.3,100,21.4
I758,43,19,100,100,85.7,9.5
II96,14,14,100,100,85.7,14.3
JComm Totals,1014,657,98.1,96.7,94.2,8.9
