TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%
7006,77,42,98.6,100,93.2
7022,79,34,100,100,94
7026,145,75,99.1,88.9,93
7029,101,23,97.2,93.3,96.2
7034,50,45,100,100,97.8
7044,43,15,100,100,84.6
7069,61,44,97.7,92.3,100
7072,43,22,100,100,79.5
7074,36,12,96.3,100,80.6
7077,149,57,100,100,92.3
7079,20,15,100,50,78.9
7080,140,80,100,100,92
7093,64,49,100,75,94.3
7102,165,114,100,96.7,90.7
7122,12,8,100,100,100
Freedom Totals,1185,635,99.4,96.4,92
