TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
4713,47,20,100,85.7,75.7,2.6
4718,55,26,100,100,84.4,6.2
4735,36,12,100,100,81.2,9.1
4882,100,66,100,100,97.9,3.2
4888,94,50,100,95.5,97.6,2.4
IB78,29,12,100,100,100,0
IE49,65,26,100,100,96.4,5.2
IJ05,57,27,100,83.3,94.3,11.1
Keystone Totals,483,239,100,95.8,92.7,4.8
