TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
6837,67,42,100,33.3,90.9,1.8
6840,104,52,98.7,76.9,96.9,5.2
6845,77,43,100,80,97.2,2.7
6855,147,89,0,100,96.2,1.9
6875,100,52,100,100,89.5,7.1
6886,117,76,100,86.7,95.4,0
6887,113,57,100,85.7,94.8,9.9
6898,115,57,100,100,94.8,5.8
6937,40,22,100,85.7,85.3,5.9
6946,121,49,100,100,82.9,1.3
6948,103,85,100,100,95.8,1
6977,107,83,100,100,94.7,1
6984,119,47,0,77.8,91,1.4
I00V,140,37,100,62.5,82.4,5.9
I02A,33,22,100,100,92.6,3.7
I05L,11,3,50,100,88.9,11.1
I05X,11,2,100,0,90.9,9.1
I06S,26,13,89.5,80,90.9,0
I196,54,15,97.4,100,85.1,9.8
I758,112,45,100,100,97.4,2.5
II96,57,21,100,100,96.2,7.5
JComm Totals,1774,912,99,92,92.8,4
