TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%
4713,62,30,100,94.1,93.9
4718,95,35,100,81.8,100
4734,80,26,100,84.6,96.6
4735,37,14,96.8,100,82.9
4882,45,34,100,100,90.7
Keystone Totals,319,139,99.6,91.8,94.2
