TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%
4713,99,37,98.5,88,90.8
4734,113,34,100,100,95.7
4762,94,74,100,92.9,95.6
4882,91,68,97.3,86.7,94.2
4888,80,48,100,85.7,93.8
Keystone Totals,477,261,99.1,90.8,94.1
