TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%
7006,123,72,100,100,92
7022,104,37,100,100,90.4
7026,122,69,100,91.3,95.5
7029,43,4,100,100,73.3
7034,112,48,100,100,94.1
7069,5,0,100,100,66.7
7077,144,48,100,93.9,92.2
7080,146,61,100,90.9,96.5
7093,80,31,100,100,88.9
7102,166,123,100,93,92
7122,132,53,100,94.1,93.3
I03V,101,44,100,85.7,86.2
IB78,12,2,100,0,77.8
Freedom Totals,1290,592,100,94.1,91.6
