TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%
7013,52,28,100,100,91.3
7037,99,35,100,86.7,91.4
7067,61,19,98,70,88.9
7069,92,43,100,89.5,94
7079,75,43,97.8,100,94.6
7093,64,21,100,100,87.8
7114,80,35,87.5,100,92.2
Freedom Totals,523,224,97.5,92.2,91.8
