TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%
4713,96,43,100,100,89.7
4718,81,28,98.5,83.3,87.1
4735,96,34,98.6,100,92.8
4758,22,2,100,100,100
4882,77,52,100,88.2,96
Keystone Totals,372,159,99.3,94,91.9
