TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
4882,23,16,100,100,91.3,13
4888,65,22,97.1,100,91.1,5.7
I0EG,16,5,75,100,100,7.1
IE49,65,25,97.7,100,95,8.1
IJ05,67,26,100,100,97.9,4.1
Keystone Totals,236,94,97.8,100,94.7,7
