TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
7006,86,24,100,100,89.2,2.4
7026,68,49,100,83.3,95.4,6.2
7034,84,14,100,80,96,6.5
7077,107,45,100,100,94.1,6.9
7080,90,31,100,71.4,84.5,17.8
7102,61,39,100,100,96,6
7122,97,36,100,100,92.3,8.1
I03V,22,9,100,100,88.2,9.1
I06I,169,57,100,81.2,90.3,9.9
I08X,105,48,98.9,93.3,85.3,13.6
I0E3,94,45,100,80,91.6,7.1
I0E7,104,32,100,50,91.2,11.6
ID70,106,71,100,85.7,96.2,1.9
IK01,111,66,100,84.6,91.3,9.3
Freedom Totals,1304,566,99.9,85.5,91.5,8.4
