TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
4882,82,58,100,50,93.2,9.6
4888,82,31,100,100,95.5,7.2
IE49,114,28,100,100,90.6,13.2
IJ05,82,15,100,75,89.2,10.8
Keystone Totals,360,132,100,86.7,92.6,9.9
